Classe preparatoire économique et commerciale + Ecole de commerce master finance;Classe preparatoire économique et commerciale ;2;5;"Les classes préparatoires aux grandes écoles (C.P.G.E.) ont pour fonction d'accroître le niveau des connaissances des bacheliers dans différents champs disciplinaires de manière à les rendre aptes à suivre une formation en grande école dans les filières littéraires, économiques et commerciales et scientifiques. Chaque filière est subdivisée en voies.
Elles préparent aux concours des écoles supérieures de commerce et de gestion et de l'École normale supérieure de Cachan.
Les étudiants suivent un cursus polyvalent : mathématiques, économie, langues vivantes étrangères, histoire, culture générale.
Trois voies sont à distinguer :
scientifique
économique
technologique
Pour chaque voie d'étude, un programme national d'études est fixé par arrêté, après élaboration en co-partenariat avec les grandes écoles. Ces connaissances sont évaluées par les concours qu'organisent les grandes écoles.
Au terme de ces formations, les étudiants qui  n'intègrent pas une grande école peuvent poursuivre leurs études à l'université.";
Classe preparatoire scientifique + Ecole d'ingénieur master finance;Classe preparatoire scientifique ;2;5;"Les classes préparatoires aux grandes écoles (C.P.G.E.) ont pour fonction d'accroître le niveau des connaissances des bacheliers dans différents champs disciplinaires de manière à les rendre aptes à suivre une formation en grande école dans les filières littéraires, économiques et commerciales et scientifiques. Chaque filière est subdivisée en voies.
Pour chaque voie d'étude, un programme national d'études est fixé par arrêté, après élaboration en co-partenariat avec les grandes écoles. Ces connaissances sont évaluées par les concours qu'organisent les grandes écoles.
Elles préparent aux concours des écoles d'ingénieurs, des écoles normales supérieures et des écoles nationales agronomiques ou vétérinaires, etc.
Les classes préparatoires scientifiques proposent :
sept voies en première année (M.P.S.I. - P.C.S.I. - P.T.S.I. - B.C.P.S.T. - T.S.I. - T.P.C. - T.B.)
huit voies en seconde année (M.P. - P.C. - P.S.I. - P.T. - B.C.P.S.T. - T.S.I. - T.P.C. - T.B.). À ces voies, il faut ajouter la voie A.T.S. réservée aux étudiants titulaires d'un DUT ou d'un B.T.S. (durée de formation : un an).
une voie spécifique : classe préparatoire ENS Cachan arts et design. Cette voie prépare l'ENS Cachan et s'adresse principalement aux bacheliers STD2A. Elle accueille également des bacheliers généraux (S et L) pouvant avoir suivi une spécialité arts plastiques au lycée ou éventuellement une année de mise à niveau en arts appliqués (MANAA).
Au terme de ces formations, les étudiants qui  n'intègrent pas une grande école peuvent poursuivre leurs études à l'université.";
Licence d'économie ou de gestion + Ecole de commerce master finance;Licence d'économie ou de gestion ;3;3;"Vous étudierez pendant deux ans le fonctionnement d’une économie (macroéconomie) et le comportement des acteurs économiques (microéconomie), ainsi que les problèmes économiques contemporains. L’acquisition des outils de l’économiste (mathématiques, statistiques, informatique) représente une part importante de la formation.
Vous pourrez choisir parmi plusieurs spécialisations selon votre projet professionnel et votre université d’accueil : 
Administration économique et sociale : elle est composée de droit, d’économie et de gestion et de sciences sociales. Cette formation vous offre un grand choix d’orientation : administration et gestion des entreprises ou bien administration générale et territoriale en vue du concours de la fonction publique. 
Sciences de gestion : tournée vers le monde professionnel, elle propose deux parcours principaux.
- la filière gestion (généraliste) prépare au management d’entreprise au sens large. 
- la filière comptable (plus spécialisée) prépare aux masters de comptabilité, contrôle, audit, et sert de passerelle vers la filière de l’expertise comptable. 
D’autres spécialisations sont proposées aux étudiants : économétrie, ressources humaines, économie du développement, économie internationale, microéconomie approfondie, séminaire d’économie internationale, politiques économiques, ou encore socioéconomie... il y en a pour tous les goûts.";
Licence de mathématiques à la faculté + Ecole de commerce master finance à la faculté;;;;;
Licence d'économie ou de gestion à la faculté + Master finance à la faculté;;;;;
Licence de mathématiques + Ecole de commerce stratégie d'entreprise;Licence de mathématiques ;3;3;"La licence de mathématiques (niveau bac +3) offre, grâce à un solide socle de connaissances acquises dans l’ensemble des disciplines scientifiques, des opportunités dans les domaines de la météo (prévisions météorologiques et climatiques), la téléphonie mobile (allocation des fréquences, gestion des appels), Internet (conception des protocoles de communication, prévisions de l’évolution des réseaux...), la production d’énergie (optimisation de la distribution d’électricité...), la banque, la finance, l’imagerie...
Une poursuite d’étude est bien entendu envisageable. L’accès en L1 se fait avec un bac S, éventuellement ES avec une spécialité mathématiques. Quelques universités proposent une remise à niveau scientifique.
Au programme:
Comme toujours, la formation est progressive, afin que l’orientation soit mûrement réfléchie et dont convienne parfaitement à chaque étudiant. Dans la plupart des universités, l’enseignement en L1, voire en L2, est construit sous la forme d’un tronc commun. Il s’agit d’acquérir des connaissances scientifiques approfondies en mathématiques (algèbre, géométrie, analyse, calcul différentiel et intégral, probabilités et statistiques, finances...) et aussi une formation scientifique pluridisciplinaire (physique, chimie, informatique...). A noter également des enseignements en économie, communication, langue...
En L3, plusieurs parcours s’offrent aux étudiants, par exemple : mathématiques/informatique. Même dans cette licence scientifiques la mobilité internationale est un plus. La plupart des universités l’encourage fortement.";
Diplôme supérieur d'arts appliqués (DSAA) option création industrielle;Diplôme supérieur d'arts appliqués (DSAA) option création industrielle;4;2;"Après un BTS des arts appliqués, un diplôme des métiers d'art, les étudiants ont la possibilité d’approfondir leur formation et d’élever leur niveau de qualification en préparant en deux ans un Diplôme supérieur des arts appliqués, spécialité design.
Le DSAA spécialité design s’adresse aux étudiants souhaitant s’engager dans une carrière professionnelle dans les métiers de la création et de la conception en design de communication, d’espace, de mode, de produits ou de services.
Quatre mentions sont proposées : espace - graphisme - mode - produit.
Le champ de la création-conception en design ne se limite pas à la mise au point d'une idée. Il se définit au travers d’un processus complexe qui prend en compte l'usage et les préoccupations des utilisateurs au plan esthétique, social, économique et fonctionnel, en se gardant de confondre cette proposition avec la notion d'innovation, les critères de nouveauté technologique ou d'efficacité ne suffisant pas pour rendre compte des activités du designer.
Aussi, la formation reste résolument ouverte à des investigations transversales et prospectives qui favorisent la porosité entre les différents domaines du design, en développant notamment des attitudes réflexives privilégiant une approche globale et polyvalente du design. Elle s’appuie sur une pédagogie de projet développée en équipe et aborde des problématiques d’actualité, en étroite relation avec des interlocuteurs professionnels, qui favorise la future insertion professionnelle des étudiants.
La formation comprend un stage en milieu professionnel obligatoire d'une durée de 12 semaines minimum. 
Le DSAA Design est inscrit au niveau I dans la nomenclature interministérielle des niveaux de formation.
Il peut être préparé :
par la voie scolaire dans un cycle d’étude de deux années ;
par la voie de l’apprentissage ;
par la voie de la formation professionnelle continue ;
au titre de la validation des acquis de l’expérience.
La formation préparant au DSAA s'inscrit dans le cadre de l'architecture européenne des études.
";
Diplôme de l'École nationale des arts décoratifs (ENSAD);Diplôme de l'École nationale des arts décoratifs (ENSAD);5;2;"Le diplôme de l'École nationale supérieure des Arts Décoratifs est décerné à l’élève qui a obtenu la totalité des crédits de son cursus (300 ECTS) et a soutenu avec succès son Mémoire ainsi que son projet de fin d’études (Grand projet), présenté devant un jury dont la composition est fixée par le directeur de l’École.
Le diplôme de l’École est délivré avec une spécialisation dans l’un des dix secteurs de formation offerts : Architecture intérieure, Cinéma d’animation, Art espace, Design graphique / multimédia, Design objet, Design textile et matière, Design vêtement, Image imprimée, Photo / vidéo, Scénographie.
Ce diplôme est certifié au niveau 1, code NSF 132f, par arrêté du 6 février 2008 portant enregistrement au Répertoire national des certifications professionnelles, publié au Journal officiel du 21 février 2008.
Poursuivre des études et recherches après l’obtention du diplôme de l’École nationale supérieure des Arts Décoratifs
L’entrée dans la vie professionnelle est la voie naturelle après obtention du diplôme. Les diplômés qui souhaitent poursuivre des études et recherches peuvent postuler :
à EnsadLab (Cycle de recherche de l’École - 3ans), dans le cadre d’un programme de recherche ou dans celui du doctorat Sciences-Art-Création-Recherche (SACRe) avec PSL.
dans une université ou grande école, en France et à l'étranger, dans le cadre des procédures d’admission propres à ces institutions, pour les détenteurs d’un diplôme conférant le grade de master. Il est rappelé que le diplôme de l'Ecole nationale supérieure des Arts Décoratifs confère le grade de master (depuis 2010). ex : master EDC de Sciences-po Paris
Les diplômés ont également la possibilité de se présenter aux concours d’accès à la fonction publique de catégorie A, notamment aux concours de recrutement des enseignants des écoles d’art, des écoles d’architecture ou de l’enseignement de second degré.";
Diplôme de création industrielle de l'Etablissement public à caractère industriel et commercial (ENSCI);Diplôme de création industrielle de l'Etablissement public à caractère industriel et commercial (ENSCI);5;3;"L’École Nationale Supérieure de Création Industrielle (ENSCI-Les Ateliers) [à Paris] forme de manière originale et spécifique à la création et au design industriels ainsi qu’au design textile. Elle porte et promeut la création dans l’industrie du XXIe siècle, autant immatérielle que matérielle ; elle forme des concepteurs d’objets, avec leurs parts esthétique, fonctionnelle et d’usages associés, créateurs de valeurs économiques et sociales. Sa pédagogie originale est basée sur le projet et le cursus individualisé.
Établissement public à caractère industriel et commercial, elle est placée sous la tutelle des ministères chargés de la Culture et de l’Industrie et jouit d’une réputation et d’une insertion nationale et internationale de premier plan. Elle délivre deux diplômes en formation initiale : créateur industriel et designer textile, élevés tous les deux au grade de master. L’ENSCI offre également des cursus post-Master, accrédités par la Conférence des Grandes Écoles. L’ENSCI a été classée au deuxième rang des écoles et universités d’Europe et d’Amérique dans le Red Dot Design Ranking 2016, catégorie Design Concept.";
Diplôme de designer mobilités de Strate College designers;Diplôme de designer mobilités de Strate College designers;4;2;"En devenant designer mobilité[s], vous concevez les véhicules de notre quotidien allant de la moto au train en passant par la voiture ou le bateau. Vous améliorez l'usage des véhicules pour améliorer le quotidien des gens dans leur déplacement ou le transport de marchandise.
Vous apprenez les Sciences Humaines et Comportementales pour comprendre les usages et déterminer les besoins des utilisateurs en vous mettant en situation, en les mettant au centre de votre réflexion. Vous puisez dans les arts, l'histoire et la culture générale pour donner du sens à votre création. Les objets sont conçus pour faciliter la vie des humains. C'est également (surtout ?) vrai pour l'objet automobile ! 
Vous apprenez le dessin, la maquette, la modélisation 3d, la vidéo, etc. Le Designer Mobilité[s] (Transport automobile) est un expert de la mise en forme et de la scénarisation de ses idées. Vous devez communiquer par des scénarios d'usage ou des prototypes simples. Vous apprenez aussi à exprimer vos idées par l'écrit et à l'oral. S'il y a un métier ou le dessin peut être un levier de sélection, c'est dans l'automobile.
Vous êtes confronté à la réalité du métier par les intervenants de Strate, tous professionnels en activité, vous effectuez jusqu'à 18 mois de stage et des partenariats suivis par les entreprises. Vous travaillez en équipes pluridisciplinaires, challengés sur des sujets proposés par des marques. La formation designer mobilité ne se limite pas à l'automobile, il faudra donc connaître plusieurs type de sociétés. Tous les 2 ans nousa participons au Mondial de l'automobile et tous les ans au Festival Automobile International. un bon moyen d'en apprendre plus sur les marques.
En plus de choisir entre Design Produit[s], Design d'Espace[s], Design d'Identité[s], Design d'Interaction[s] ou Immersive design, vous pouvez faire un double diplôme Designer-Manager, vous suivez également des cours sur l'entrepreneuriat, et Strate propose des options post-diplôme avec des écoles partenaires pour afiner votre projet professionnel. Vous pourrez ainsi établir votre projet avant de sortir de l'école et préparer votre projet professionnel pour les années qui suivront.";
